express,date
8426.26,2014-1-1
6998.7,2014-2-1
7270.5,2014-3-1
7932.8,2014-4-1
8798.75,2014-5-1
12086.01,2014-6-1
9232.17,2014-7-1
9029.09,2014-8-1
9909.9,2014-9-1
8764.63,2014-10-1
10807.4,2014-11-1
11755.75,2014-12-1
11580.12,2015-1-1
6513.6,2015-2-1
10269.56,2015-3-1
10674.48,2015-4-1
11162.12,2015-5-1
11267.64,2015-6-1
11724.36,2015-7-1
11776.21,2015-8-1
12816.65,2015-9-1
12183.14,2015-10-1
16117.74,2015-11-1
15361.62,2015-12-1
14063.13,2016-1-1
9742.73,2016-2-1
15125.08,2016-3-1
15119.93,2016-4-1
15738.41,2016-5-1
17649.48,2016-6-1
16164.53,2016-7-1
16623.11,2016-8-1
17442.46,2016-9-1
17554.94,2016-10-1
20843.7,2016-11-1
19961.53,2016-12-1
15319.1,2017-1-1
13541.53,2017-2-1
16533.08,2017-3-1
14997.6,2017-4-1
18496.6,2017-5-1
20174.94,2017-6-1
18074.51,2017-7-1
20694.75,2017-8-1
20869,2017-9-1
20244.28,2017-10-1
25484.11,2017-11-1
23022.62,2017-12-1
20025.73,2018-1-1
12214.35,2018-2-1
17933.34,2018-3-1
16462.36,2018-4-1
17820.78,2018-5-1
19158.06,2018-6-1
17782.6,2018-7-1
18085.47,2018-8-1
19184.21,2018-9-1
17690.9,2018-10-1
23295.9,2018-11-1
21221.9,2018-12-1
18237.5,2019-1-1
11712.57,2019-2-1
17873.8,2019-3-1
17323.9,2019-4-1
17411.35,2019-5-1
19419.6,2019-6-1
18563.1,2019-7-1
19381.4,2019-8-1
19571.2,2019-9-1
20031.9,2019-10-1
25240.8,2019-11-1
23949.3,2019-12-1
,2020-1-1
,2020-2-1
,2020-3-1
,2020-4-1
,2020-5-1
,2020-6-1
,2020-7-1
,2020-8-1
,2020-9-1
,2020-10-1
,2020-11-1
,2020-12-1
,2021-1-1
,2021-2-1
,2021-3-1
,2021-4-1
,2021-5-1
,2021-6-1
,2021-7-1
,2021-8-1
,2021-9-1
,2021-10-1
,2021-11-1
,2021-12-1
,2022-1-1
,2022-2-1
,2022-3-1
,2022-4-1
,2022-5-1
,2022-6-1
,2022-7-1
,2022-8-1
,2022-9-1
,2022-10-1
,2022-11-1
,2022-12-1
,2023-1-1
,2023-2-1
,2023-3-1
,2023-4-1
,2023-5-1
,2023-6-1
,2023-7-1
,2023-8-1
,2023-9-1
,2023-10-1
,2023-11-1
,2023-12-1
,2024-1-1
,2024-2-1
,2024-3-1
,2024-4-1
,2024-5-1
,2024-6-1
,2024-7-1
,2024-8-1
,2024-9-1
,2024-10-1
,2024-11-1
,2024-12-1
,2025-1-1
,2025-2-1
,2025-3-1
,2025-4-1
,2025-5-1
,2025-6-1
,2025-7-1
,2025-8-1
,2025-9-1
,2025-10-1
,2025-11-1
,2025-12-1
,2026-1-1
,2026-2-1
,2026-3-1
,2026-4-1
,2026-5-1
,2026-6-1
,2026-7-1
,2026-8-1
,2026-9-1
,2026-10-1
,2026-11-1
,2026-12-1
,2027-1-1
,2027-2-1
,2027-3-1
,2027-4-1
,2027-5-1
,2027-6-1
,2027-7-1
,2027-8-1
,2027-9-1
,2027-10-1
,2027-11-1
,2027-12-1
,2028-1-1
,2028-2-1
,2028-3-1
,2028-4-1
,2028-5-1
,2028-6-1
,2028-7-1
,2028-8-1
,2028-9-1
,2028-10-1
,2028-11-1
,2028-12-1
,2029-1-1
,2029-2-1
,2029-3-1
,2029-4-1
,2029-5-1
,2029-6-1
,2029-7-1
,2029-8-1
,2029-9-1
,2029-10-1
,2029-11-1
,2029-12-1
